Index (10x),Index (HTO),Lane,Loaded Cells,BCL PIN (10x),BCL PIN (HTO)
D3,D706,*,25000,0265,0265
E3,D707,*,25000,0265,0265
F3,D708,*,25000,0265,0265
G3,D709,*,25000,0265,0265
